rid,time,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt,evt_type
60694293,2006-07-14T23:59:38.620000Z,-166.03233333333333,54.18183333333333,3540.0,0.0,0.23720582194002834,7.4501992031872515,0.5406670454404,0.3130154306687389,2.702731034105924,2.592461115195839,VT
60694323,2006-07-15T00:29:50.090000Z,-166.02783333333332,54.18516666666667,5180.0,0.4,0.23152406052355098,7.569721115537848,0.792903454919637,0.3865419306999525,2.6705500767707058,2.3897113839631188,VT
60694338,2006-07-15T00:35:30.280000Z,-166.01933333333332,54.17733333333334,5010.0,0.3,0.2392662166954544,6.772908366533864,1.1674694529928906,0.5583598689522299,4.144089310119437,2.3907351302419166,VT
60694353,2006-07-15T00:41:40.770000Z,-166.0305,54.17916666666667,3090.0,-0.1,0.08240161033525117,6.374501992031872,0.5091670428023859,-0.26502907592016717,2.4185199368580648,2.2760975625458286,VT
60694423,2006-07-15T01:34:20.830000Z,-166.0175,54.16733333333333,4930.0,0.2,0.21141196659820635,7.52988047808765,0.8218220392084543,0.2127395243862525,3.2088519419163966,2.416997441306543,VT
60694468,2006-07-15T01:53:48.190000Z,-166.0245,54.17583333333334,5130.0,-0.2,0.14990144398483124,8.446215139442232,0.6527502217451184,0.026538224887961925,2.88779840671237,2.901610471978823,VT
60694483,2006-07-15T02:01:34.830000Z,-166.02466666666666,54.18066666666667,3990.0,-0.1,0.1600956451866175,6.932270916334661,0.5088079465896804,0.46387245615932665,2.548758768574326,3.275963193886481,VT
60694493,2006-07-15T02:16:28.720000Z,-166.02366666666666,54.1785,5620.0,0.4,0.11439310103389591,5.697211155378485,0.4885976081680829,-0.0025470358891063398,2.140234209434506,2.492723403919079,VT
60694538,2006-07-15T02:32:08.500000Z,-166.02433333333335,54.178333333333335,4200.0,0.3,0.12772109892619268,7.768924302788845,0.6209691131469852,-0.2928028586841033,2.1433108274688575,2.46495737207241,VT
60694768,2006-07-15T08:06:17.460000Z,-166.02516666666668,54.178,4780.0,-0.1,0.1504570037476931,7.52988047808765,0.33805093709124084,0.284848645542327,2.1655631418790047,2.8925712990129906,VT
60694783,2006-07-15T08:06:27.500000Z,-166.02416666666667,54.18183333333333,4480.0,0.0,0.053039519248262536,5.816733067729084,0.7731862042626555,0.21841199605105718,2.7619166084775535,2.4874186769546847,VT
60694928,2006-07-15T11:07:57.320000Z,-166.02416666666667,54.1785,5290.0,0.1,0.08720504139803079,6.533864541832669,0.6113650440135227,0.2447097642814362,2.427850352719827,2.425408599388788,VT
60695033,2006-07-15T12:32:45.500000Z,-165.98333333333332,54.14566666666666,2930.0,0.2,0.09227697795225878,7.330677290836654,0.7604516652843375,0.2010903166954372,2.6041492724675783,2.339394393064814,VT
